43185,0.66722
43186,0.62703
43187,0.55388
43188,0.58366
43189,0.61503
43190,0.62381
43191,0.62189
43192,0.62439
43193,0.68006
43194,0.72002
43195,0.44721
43196,0.41388
43197,0.46926
43198,0.46554
43199,0.4543
43200,0.37429
43201,0.47121
43202,0.48951
43203,0.47246
43204,0.42604
43205,0.37091
43206,0.35038
43207,0.30835
43208,0.37832
43209,0.46308
43210,0.73086
43211,0.72599
43212,0.55731
43213,0.54309
43214,0.50343
43215,0.54264
43216,0.50836
43217,0.56384
43218,0.48397
43219,0.62515
43220,0.6147
43221,0.5988
43222,0.59772
43223,0.55047
43224,0.23751
43225,0.27076
43226,0.25681
43227,0.20969
43228,0.24329
43229,0.30107
43230,0.24362
43231,0.2295
43232,0.22281
43233,0.30583
43234,0.26959
43235,0.28306
43236,0.26343
43237,0.24913
43238,0.31522
43239,0.2691
43240,0.21492
43241,0.32691
43242,0.2717
43243,0.20127
43244,0.20127
43245,0.24643
43246,0.26998
43247,0.18985
43248,0.25441
43249,0.26299
43250,0.23129
43251,0.27635
43252,0.2761
43253,0.24577
43254,0.21039
43255,0.21144
43256,0.19264
43257,0.27489
43258,0.44793
43259,0.53826
43260,0.27113
43261,0.29372
43262,0.33165
43263,0.55209
43264,0.42192
43265,0.4437
43266,0.47692
43267,0.4803
43268,0.46116
43269,0.51114
43270,0.41621
43271,0.40403
43272,0.65994
43273,0.55748
43274,0.54982
43275,0.60976
43276,0.52723
43277,0.55078
43278,0.55491
43279,0.55725
43280,0.48471
43281,0.64829
43282,0.57225
43283,0.61842
43284,0.5395
43285,0.59323
43286,0.58867
43287,0.65207
43288,0.61096
43289,0.57957
43290,0.56534
43291,0.4834
43292,0.48293
43293,0.36068
43294,0.27432
43295,0.34571
43296,0.60637
43297,0.54401
43298,0.61573
43299,0.5817
43300,0.59144
43301,0.58683
43302,0.46288
43303,0.57309
43304,0.60627
43305,0.54717
43306,0.52931
43307,0.57159
43308,0.58481
43309,0.50976
43310,0.60796
43311,0.61279
43312,0.58931
43313,0.56839
43314,0.67595
43315,0.71216
43316,0.58056
43317,0.5822
43318,0.56878
43319,0.6568
43320,0.69035
43321,0.67112
43322,0.61038
43323,0.61198
43324,0.59162
43325,0.63766
43326,0.6405
43327,0.532
43328,0.54836
43329,0.55463
43330,0.47461
43331,0.53146
43332,0.56822
43333,0.62751
